,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
318,Tonembee,2013,30 min,"
Documentary, Short, Adventure            ",NA,NA,Nikki Cole,,NA,"By making a personal visit to a remote Kenyan village with no running water and no electricity, filmmaker Nikila Cole and her daughter Sarah are amazed to discover what a small amount of ...                See full summary »"
319,The Last Rhinos,2016,9 min,"
Documentary, Short, Adventure            ",NA,NA,Brian Dawson,,NA,"John Hume owns 5 percent of the world's rhinos. Last year, he sued the South African government to legalize the sale of rhino horn. The case reached South Africa's equivalent of the Supreme...                See full summary »"
320,Build Something Modern,2011,70 min,"
Documentary, History            ",NA,NA,Nicky Gogan,"Paul Rowley,Solomon Osho",NA,Build Something Modern is a touching and revealing film about people and their special relationship with the things they create as they reflect on it many years later. The film tells the ...                See full summary »
321,No Rain at Timburi,1954,61 min,"
Action            ",4.4,NA,Alastair Scobie,"Carol Raye,John Ebdon,Peter Dakeyne,Alan Tarlton",6,The wife of the North Kenya District Commissioner joins him in Africa and encounters trouble with the natives.
322,Fly Little Birds,2011,24 min,"
Documentary, Short, Drama            ",NA,NA,Emma Greaves,,NA,"Alice and Jerusha are two young, beautiful, spirited Kenyan girls, who now over eighteen must leave the children's centre they have grown up in. An exploration of femininity and adolescence...                See full summary »"
323,Chasing Moses,2009,60 min,"
Drama            ",NA,NA,Alexandros Konstantaras,"Joseph Kamau Kinuthia,Simon J. Smithers,Philip Chege,Ruth Mueni",NA,Add a Plot
324,Self Portrait,I 2017,55 min,"
Documentary, Fantasy            ",NA,NA,Eirik Falk,,NA,Add a Plot
325,Hana,2019,6 min,"
Short, Thriller            ",NA,NA,Monica Aloo,"Douglas Muigai,Madeline Mukami",NA,Add a Plot
326,Carbon for Water,2011,23 min,"
Documentary, Short, News            ",7.2,NA,Evan Abramson,Carmen Elsa López,10,"In Kenya's Western Province, most drinking water is contaminated. The wood many Kenyans use to boil this water to make it safe is increasingly valuable. Women and girls, who bear the ...                See full summary »"
327,Maji,2012,11 min,"
Documentary, Short, News            ",NA,NA,Julia Yarbough,,NA,"MAJI highlights the social and environmental project created by a Kenyan-born architect to improve the quality of and provide access to clean, safe water for individuals in slum regions of ...                See full summary »"
328,Sticking Ribbons,2013,18 min,"
Short            ",NA,NA,Bill Jones,"Maureen Koech,Zeph Mwangi,Patrick Oketch",NA,"Kimberley, a former addict, addresses a group of recovering addicts as to why immediately after being released from a rehabilitation center she enrolls back. Through the series of ...                See full summary »"
329,"Pokot Girls Initiation, Kenya",2019,NA,"
Documentary, Short            ",NA,NA,Kire Godal,,NA,Add a Plot
330,The Color of Life,2018,5 min,"
Short, Drama, Family            ",NA,NA,Matu Wanjiku,Grace Matu,NA,When weakness makes you a target
331,Bait,V 2015,7 min,"
Short, Drama            ",NA,NA,Likarion Wainaina,"Brian Byaruhanga,Millicent Ogutu,Jackline Wanjiku",NA,Add a Plot
332,Kibera: Rising Above the Conditions,2014,30 min,"
Short, Adventure            ",NA,NA,Hatim Hassanali,,NA,A film painting a positive picture about the living conditions of children and adults in Kibera.
333,Chuma,2019,7 min,"
Short, Sci-Fi            ",NA,NA,Faith Musembi,"Gilbert K. Lukalia,Ibrahim Muchemi,Adaeze Imani Muga,Jean Muga",NA,"It is the fourth year of the Chuma infiltration in Kenya. The Chuma are an extraterrestrial species who look and speak like Kenyans. Although the Chuma have maintained a peaceful existence,...                See full summary »"
334,Girls of Daraja,2010,14 min,"
Documentary, Short, Family            ",NA,NA,Barbara Rick,,NA,Celebrating the unique and powerful Daraja Academy in Kenya: the first free all-girls secondary school in all of East Africa.
335,Safari,III,90 min,"
Drama            ",NA,NA,Bill Jones,"Eravuna Wycliffe,Douglas Muigai,Victor Fadhili,Mehul Savani",NA,"Safari is a family adventure movie which follows a timid boy who, captive in his rural home, escapes in an attempt to experience Kenya for the first time."
336,A Lover and Killer of Color,1989,NA,NA,NA,NA,Wanjiru Kinyanjui,,NA,Add a Plot
337,Kenya's Seven Forks Hydro-Electric Project Stage 1: Kindaruma,1968,NA,"
Documentary, Short            ",NA,NA,George Sturt,Peter Clare,NA,Add a Plot
338,Drones for Good,2019,NA,"
Short, Sport            ",NA,NA,Avery Bazan,,NA,Add a Plot
339,Torn,X 2017,NA,"
Short, Drama            ",NA,NA,Muriithi Mwangi,"Cindy Kahura,Nyawara Ndambia",NA,Add a Plot
340,Pearls of Africa,II,117 min,"
Drama, Family, Romance            ",NA,NA,Sharon Agina,,NA,Two people brought together for their love of one another but separated by the prejudices of their cultures.
341,Kesho Pia Ni Siku (Tomorrow Is Another Day),2021,10 min,"
Documentary, Short            ",NA,NA,Ng'endo Mukii,Margaret Njeri Mereka,NA,Add a Plot
342,Dov'è l'elefante,2011,57 min,"
Documentary, Adventure, Drama            ",NA,NA,Margherita Ferri,"Maurizio Gulizzi,Marco Mantovani,Elettra Piatesi",NA,"Although Elettra, Marco and Maurizio have experienced mental disorders in their lives, they take off to a life-time trip to Kenya."
343,Modern Day Mother Teresa,I 2015,27 min,"
Documentary, Short            ",NA,NA,Joshua August,,NA,"Modern Day Mother Teresa is a look into the humanitarian and ministry efforts of Nobel Peace Prize nominee, Freddie Power."
344,Kosa na Kosa,2010,68 min,"
Drama            ",NA,NA,Clifford Okumu,"Yusuf Ali,Badi Kakwaya,Juma Mganda,Margaret Muthoni",NA,"Two wrongs make a right only when the first wrong isn't a wrong, at least according to you. And when desperate moments catch up with you, employing desperate measures is definitely the only resort."
345,K.U.S.H,2018,NA,"
Crime            ",NA,NA,Ronald Eli,"Ronald Eli,Douglas Muigai,Simon Mwaniki",NA,Add a Plot
346,Watatu,2015,88 min,"
Drama            ",NA,NA,Nick Reding,"Ali Mohammed Mlatso,Benson Obiva,Said Muhsin,Aisha Mwajumlah",NA,"Yusuf is a young university graduate suffering discrimination, lack of opportunity and is raging against injustice. He slowly becomes seduced by extremist thought, which leaves his family ...                See full summary »"
347,Deuce,II 2016,NA,"
Short, Comedy            ",NA,NA,Sahil Gada,Samson Psenjen,NA,Add a Plot
348,No Autographs,2010,9 min,"
Documentary, Short, Biography            ",5.8,NA,Bryan Buckley,Luol Deng,10,The story of one refugee's survival and his return home. NBA star Luol Deng travels to the Kakuma Refugee camp in Kenya and South Sudan to visit with the refugees and spread hope. This was ...                See full summary »
349,Shouting Silence,2012,NA,"
Drama            ",NA,NA,Amos Mwaki,"Amina Athman,Joshua Kiama,Victoria Musyoki,Francis Mutua",NA,"Fate has it that Gift is hearing impaired, he deeply falls in love with Brenda who is Sly's (Sylvester) fiancee. Sly who happens to be rich and has Betty's (Brenda's mum) approval is out to fight for Brenda's love."
350,Romeo Niner,,NA,"
Crime            ",NA,NA,Neil Schell,,NA,A man from London who came to Kenya to work in agriculture and wound up being a Police Reservist who operated like a vigilante.
351,Clash,2016,16 min,"
Short, Adventure, Drama            ",NA,NA,Saitabao Kaiyare,"Edijoe Mwaniki,Sambayon Supeet",NA,An Avant-garde film that revolves around the themes of environment conservation and Modernism Vs Culture.
352,Reconciled,2016,79 min,"
Documentary            ",NA,NA,Robert Eddowes,,NA,Add a Plot
353,The Mukuru Art Boyz,2015,5 min,"
Documentary, Short            ",NA,NA,NA,,NA,"Living in a world of absolute poverty, five self-taught painters struggle to survive in the slums of Nairobi, Kenya and be recognized as artists in their own right. To succeed they must overcome self doubt and conflict."
354,Africa Is a Woman's Name,2010,NA,"
Documentary, Biography            ",NA,NA,Wanjiru Kinyanjui,"Bridget Pickering,Ingrid Sinclair,Njoki Ndung'u,Phuti Ragophala,Amai Rosie",NA,Three Prestigious African Female Filmmakers. Three Charismatic African Women. Three Outlooks on Gender and Empowerment. Female power embodied in lives of three remarkable African women from...                See full summary »
355,Captive,II 2018,22 min,"
Short, Drama            ",NA,NA,Trevor Abekah,,NA,A woman gets held captive for ten years enduring harsh treatments along the way till she develops stock holm syndrome
356,"This Is Just Batting Practice: A Tale About G.I. Joes, Tomato Boxes, Rivers & Reincarnation",2011,35 min,"
Documentary, Short, Biography            ",NA,NA,Benjamin Lenzner,,NA,"A film inspired by a cache of 8 mm family films that were hidden away in dusty old tomato boxes in a far off corner of Brooklyn. Spanning six decades and five countries, while fusing 8 mm, ...                See full summary »"
357,A Way Forward,2016,7 min,"
Documentary, Short            ",NA,NA,Isaac Seigel-Boettner,,NA,"For Dianah and Angela, going to school in rural Kenya couldn't have been more difficult. Rise before the sun. Fetch water. Study. Cook breakfast for the family. Brave the hour long walk to ...                See full summary »"
358,Be Prepared,I 2018,26 min,"
Documentary, Short            ",NA,NA,Susan Ealer,,NA,"In a place where one in four girls is raped, where eight year old girls are forced into marriages, where girls are three times more likely than boys to contract HIV; a group of girls is ...                See full summary »"
359,Forced to Flee,2009,16 min,"
Documentary, Short            ",NA,NA,Peter Murimi,"Polly Renton,Louise Tunbridge",NA,Add a Plot
360,Price of Our Freedom,2016,15 min,"
Documentary, Short, Drama            ",NA,NA,Awuor Onyango,,NA,Explores rape culture in Nairobi and the ways in which Rape survivors navigate their own stories and these spaces.
361,Fountain of Life,2011,13 min,"
Documentary, Short, News            ",NA,NA,Gerald Gregory,,NA,"Handicam shot documentary about the work of the Fountain of Life Ministry which pulls children out of the slums of Nairobi, giving them food, shelter and an education while prolonging the ...                See full summary »"
362,Creative Such as Bigfishfunny Part Two,2014,NA,"
Short            ",NA,NA,Aiswarja Smith,,NA,Add a Plot
363,Box Girl,2013,9 min,"
Documentary, Short, Biography            ",NA,NA,Evan J. Pretzer,Jean 'Sonko Msoto' Knight,NA,"Based in the Nairobi slum of Kariobangi, 'Box Girl' follows Sonko Msoto, one of the earliest members of the Box Girls organization who fought her way onto the Kenyan national women's boxing team."
364,Between Two Worlds,2012,26 min,"
Documentary, Short, Drama            ",6.5,NA,Ruud Lenssen,Marijn Poels,11,Between Two Worlds is a portrait about the Dutch filmmaker Marijn Poels He works in third world countries so much that he doesn't know where he belongs anymore.
365,A Partnership for Prosperity,2007 Video,20 min,"
Documentary, Short, Family            ",NA,NA,Malcolm Glover,Malcolm Glover,NA,"A film that documents the results of two decades of civil war in Southern Sudan and the work of dedicated volunteers, who are rebuilding war-torn communities throughout the country."
366,Ebola: A Poem For the Living,2014,5 min,"
Animation, Short, Drama            ",NA,NA,Firdaus Kharas,,NA,Ebola: A Poem For The Living is an animated short created to contribute to the prevention of the further spread of the Ebola virus in West Africa. The video reflects the co-creators ...                See full summary »
367,We Won't Stop,2014,4 min,"
Documentary, Short, News            ",NA,NA,Lucia Zoro,,NA,"In Jordan, the UK and Kenya, three women and girls with very different stories are on a journey. Every day, Save the Children works to change shocking facts from around the world: 4.7 ...                See full summary »"
368,Joshua,I 2016,17 min,"
Short, Drama            ",NA,NA,C. Thomas Lewis,,NA,Joshua is indispensible to his grandmother and admired by the pastor of his church. Then he learns of his status and everything suddenly changes. In the process the pastor of his church ...                See full summary »
369,Building Education in Kenya,2013,17 min,"
Documentary, Short, Adventure            ",NA,NA,Emils Matiss,"Yolanda Mak,Camille Balda,Emils Matiss",NA,An ambitious group of high school student finally set sail to Kenya after a long year of planning. Once in Africa they break the ground and start the construction of an all girls high ...                See full summary »
370,Journey Into the Heart of Kenya,2009,40 min,"
Documentary, Short, Adventure            ",NA,NA,Josiah Maselli,Josiah Maselli,NA,Add a Plot
371,Home is home,2017,14 min,"
Short, Drama            ",NA,NA,Lisa Kihagi,"Joan Poggio,Lydia Gitachu",NA,"College student Alice, faces a tough choice to forgive and move forward after a terrible handling of her rape case by family many years ago,her son's fate depends on it."
372,"Stay home, Stay safe, Stay sane",2020,1 min,"
Short            ",NA,NA,Abu Melita,Isaya Evans,NA,"With every alarm, Each day is different but the same - Each memory different but alone."
373,Sumu,2011,15 min,"
Short, Drama, News            ",NA,NA,Paul Plett,"James Gitau,Marion Maloba,Steve Ocheing,Crispin Owuor",NA,"This film examines the AIDS epidemic through the eyes of a young man in the slums of Nairobi. It deals with the struggle to find a way out of a conflict instigated by ignorance, hate and assumptions."
374,Talk About It,2010,4 min,"
Short, News            ",NA,NA,Janie Hayes,,NA,"No one wants talk about it, but diarrhea is the second leading killer of children around the world. It kills about 4000 children per day, which is more than HIV/AIDS, famine, and war. This ...                See full summary »"
375,The Ball,I 2013,5 min,"
Documentary, Short, Adventure            ",NA,NA,NA,,NA,The Ball takes place in what many say is Africa's largest.'slum.' This short documentary story follows two impoverished boys as they use hard work and ingenuity to keep their dream of some ...                See full summary »
376,This is My Normal,2011,42 min,"
Documentary, Short, Drama            ",NA,NA,Brian MacDonald,"Justin Ahrens,Bob Davidson",NA,"'This is My Normal' is a sobering documentary exploring two primary questions, 'What is poverty?' and 'What is normal for the world's poor?', through stories and imagery from the slums in ...                See full summary »"
377,Mosi,2016,14 min,"
Short, Drama            ",NA,NA,C. Thomas Lewis,,NA,"Mosi loves to play soccer at school, but faces the taunting of his teammates when speculation of his status spreads. Mosi has to win them over with his gamesmanship on the field."
378,Obohoz 2.0,2014,68 min,"
Drama            ",NA,NA,Caroline Odongo,"Paula Kavita,David Lomunyak,Eric Olalo",NA,Add a Plot
379,Musafir,2014,12 min,"
Documentary, Short, Adventure            ",NA,NA,Danny Bedrossian,,NA,"In 2011, a diverse group of expats moved to Kenya to build a massive wooden sailing boat. After three tough years of construction, their journey is about to begin."
380,ACT--A Convenient Truth,2009 Video,6 min,"
Documentary, Short, News            ",NA,NA,Turk Pipkin,,NA,Native Masai tree planting project fights global warming and water shortages in Africa.
381,Blessing,2014,12 min,"
Documentary, Short, Biography            ",NA,NA,Connor Clerke,,NA,"Blessing tells the story of Baraka, a young Kenyan boy with a physical disability. Told through the voice of award-winning Canadian author Eric Walters and his book, My Name is Blessing, ...                See full summary »"
382,Queen Bee wa Kenya,2016,6 min,"
Short, Drama            ",NA,NA,Albert Nyakundi,"Nelly Muttai,Raymond Ofula,Keiran Ratanya",NA,A deal goes wrong as corrupt government officials fight over money swindled from the public coffers.
383,A Chance for Peace,2017,60 min,"
Documentary            ",NA,NA,Tyler Batson,"Margaret Atieno,Tyler Batson,Emmanuel Leina Tasur,Solomon Muyundo",NA,"Kenya's post-election violence received little coverage in the mainstream US media. Six-hundred thousand people were displaced and nearly 2,000 people died, but it was treated as a ...                See full summary »"
384,A Generation of Orphans,2007,28 min,"
Documentary, Short            ",NA,NA,Liz Marshall,,NA,A Generation of Orphans gives voice to six children who have been orphaned by AIDS across sub-Saharan Africa. Their personal and varied life stories are told with the help of the grassroots...                See full summary »
385,Zumari,2018,6 min,"
Documentary, Short, Biography            ",NA,NA,Jackline Wangeci,,NA,"In Nairobi's toughest slum, a young man summons the courage to change his life and discovers peace in an unlikely place."
386,Undefended_Feature,2014,56 min,"
Drama, Music, Romance            ",NA,NA,Mickaela Grace,Mickaela Grace,NA,The foundational consciousness that determines how we treat our lovers is often the same algorithm for how we treat the earth. This is a subtle love letter from one human to another on the ...                See full summary »
387,Kura,2017,15 min,"
Short, Drama            ",NA,NA,Gatumia Gatumia,"Michael Wallace Karanja,Stephen Katingima,Boniface Mutunga Muli,Chito Ndhlovu",NA,"It is the eve of a General Election and disturbing happenings have given the nation cause to question the system. Amidst very uncertain circumstances, the incumbent Head of State grapples ...                See full summary »"
388,When the Time Comes,2013,13 min,"
Documentary, Short, Adventure            ",NA,NA,Charles Gay,Doris Seita,NA,The Women of the Samburu tribe of Kenya question the utility of female circumcision in their communities.
389,Michael,III 2016,17 min,"
Short, Drama            ",NA,NA,Thomas Lewis,,NA,"Michael, who is HIV+, suffers harsh treatment at home from his step-mother. His father doesn't understand his health needs and neglects to take him to the clinic. Faced with his ...                See full summary »"
390,Once Upon a Time...,2018,NA,"
Short, Drama            ",NA,NA,Sahil Gada,"Samson Psenjen,Shiviske Shivisi",NA,Add a Plot
391,Ride the Wild,2016,60 min,"
Adventure            ",NA,NA,Aziz Abdallah,,NA,A feature film based on the ride the wild biking event at the Tsavo National Park. Features the struggle riders face and the mission behind the project. Animal and nature conservation.
392,Psycho,III 2015,2 min,"
Short, Thriller            ",NA,NA,Saitabao Kaiyare,"Simon Chege,Kipkorir Chelanga,Saitabao Kaiyare,Michael Moon",NA,A thrilling short experimental film about a psychotic man and his sadistic endeavors.
393,Sunset at Dawn,II 2012,41 min,"
Short, Drama            ",NA,NA,Christine Ng'ang'a,"Abdi Noor Aden,Zainab Athman,Cajetan Boy,Margaret Kalekye",NA,Add a Plot
394,Nairobi Yangu,2017,5 min,"
Short, Drama            ",NA,NA,King Muriuki,Gilad Millo,NA,This narrative based music video seeks to bring out the culture and unique vibrancy of Nairobi city through the perspective of different and diverse individuals going through their daily lives in the City in the Sun.
395,"Love, Positively",2009,12 min,"
Documentary, Short            ",NA,NA,Peter Murimi,Louise Tunbridge,NA,Add a Plot
396,Helter Skelter,2015,6 min,"
Short, Comedy, Horror            ",NA,NA,Justin Edwards,Justin Edwards,NA,A man forgets his toast and meets a strange thing.
397,Kakuma Kids,2012,8 min,"
Documentary, Short, News            ",NA,NA,Ross Casswell,,NA,"Kakuma's kids give their account of Kakuma Refugee camp, a camp that has welcomed many nationalities from Africa and developed into an important part of Kakuma, a small town in Northwestern Kenya."
398,Solo 7 Man of Peace,2015,45 min,"
Documentary            ",NA,NA,Daniel Brevick,,NA,"Solomon Muyundo, AKA Solo 7 painted peace messages during the 2007/08 post election violence in the slum of Kibera. He prevented loss of life and property and has started a school in the ...                See full summary »"
399,Stories in Place: Kanyoko Boutique: Kesho Pia Ni Si,2021,NA,"
Short            ",NA,NA,NA,,NA,Add a Plot
400,Maramaso,2013,54 min,"
Documentary, Music, News            ",NA,NA,Laura Asherman,Carlton Mackey,NA,"Maramaso follows young musician, Mandela, and his band as they struggle to promote peace ahead of the hotly contested 2013 Kenyan presidential election."
401,Long Live Gir,2018 TV Movie,130 min,"
Documentary            ",NA,NA,Narendra Mojidra,,NA,"'We believe, Without Development, we may live poorly, but without our Jungles and Wildlife, we surely will Perish'. Khamma Gir Ne is a bold and daring documentary film project to unearth ...                See full summary »"
402,Kenya - Senior Project,2014,3 min,"
Documentary, Short, Adventure            ",NA,NA,Wesley McHaley,,NA,A student's volunteer trip to Kenya provides a him with a life-changing experience and a unique senior project.
403,She Will Connect,2016,NA,"
Documentary, Short            ",NA,NA,Claire Ash Meadow,Adelle Onyango,NA,Add a Plot
404,Der Kampf um den heiligen Baum,1995,82 min,"
Comedy, Drama            ",NA,NA,Wanjiru Kinyanjui,"Margaret Nyacheo,Catherine Kariuki,Roslynn Kimani,Titi Wainaina",NA,"Um unabhängig von ihrem Mann zu sein, der sie schlägt und betrügt, kehrt Wambui mit ihrer Tochter in ihr Heimatdorf zurück. Dort hat eine christliche Frauengruppe u.a. der Happy Bar, in der...                See full summary »"
405,The Date,X 2021,6 min,"
Short, Drama, Romance            ",NA,NA,Allan Bosire,"Daisy Cate,Wycliffe De Dakta,Kidee,Miss Blanco",NA,Young Jack Has To Look For His Perfect Wear Before Going Out With His Date.
406,Enough-Story of Lucy,2021,NA,"
Short, Drama            ",NA,NA,Mudasir Dar,Lucy,NA,Add a Plot
407,The Solar Champion,2017,20 min,"
Documentary, Short, Adventure            ",NA,NA,Gerry Balasta,,NA,We follow the journey of children from the most remote places in the world as they all live in the dark without light. An inventor lights up their lives with his solar bulb invention.
408,Ghettomoto,2010 Video,47 min,"
Documentary, Drama, Music            ",NA,NA,Izzy Brown,Timothy Mwaura,NA,"Against a backdrop of post-election violence in Kenya, Ghettomoto is a journey of self discovery through the eyes of a ghetto poet."
409,From Vision to Reality,2012,7 min,"
Documentary, Short, News            ",NA,NA,Nihal Horne,,NA,"From Vision to Reality sheds light on a unique AIDS orphanage village called Nyumbani Village in rural Kitui, Kenya. The short film was premiered in Washington D.C. among change makers and ...                See full summary »"
410,Sandwich,I 2016,15 min,"
Short, Comedy            ",NA,NA,Sonny Mugambi,"Alfredo Michael,Murtaza Nazerali",NA,"A roughed up mini café opens up in the middle of nowhere. Serving up take away (to go) iced coffee and sandwiches only. A week into its establishment, an odd lunch time interaction between ...                See full summary »"
411,Project Daddy,2004,100 min,NA,NA,NA,Judy Kibinge,"Damaris Itenyo Agweyu,June Gachui,Ng'ang'a Kirumburu,Wangeci Murage",NA,Add a Plot
412,Honey at the Top,II 2015,58 min,"
Documentary            ",NA,NA,NA,,NA,"Honey at the Top is a film about the Sengwer forest people of the Cherangani Hills, Kenya, being evicted from their ancestral land in the name of conservation."
413,The Picnic,IV 2014,34 min,"
Short, Drama            ",NA,NA,Jackline Emali,"David Kariuki,Steven Karume,Douglas Masinde,Joyline Momanyi",NA,Add a Plot
414,Mrs Murrey and the Dairy,2013,3 min,"
Documentary, Short, Biography            ",NA,NA,Ami Vitale,,NA,"Mrs Murrey, a Kenyan dairy farmer and single mother has as a story to tell. Her life is forever changed because of The East Africa Dairy Development (EADD), a project designed to boost the ...                See full summary »"
415,Mean Ambush Short Film,2016,7 min,"
Short, Mystery            ",NA,NA,Ronald Eli,"Ronald Eli,Douglas Muigai,Celina Nyaboke",NA,Journalist {ronald Eli} finishes a news bulletin about insecurity.Little did he know that he would end up experiencing it first hand from an attacker {Douglas Muigai} on his way home.
416,ToBA: Cecimercy Wanza,2016,20 min,"
Short, Thriller            ",NA,NA,Cecimercy Wanza,"Annarita Kiriamiti,Stanely Mungai,Emmanuel Mwenda,Raymond Ofula",NA,"Toba is a psychological thriller that showcases the journey of Nana, a young writer who is entangled in poisonous sexual relationships that deem her a killer every after a heartbreak. She ...                See full summary »"
417,"Kanthari, Change from Within",2015,53 min,"
Documentary            ",7.8,NA,Marijn Poels,"Monicah Kaguithia,Paul Kronenberg,Stephen Onyang,Ojok Simon",8,"An African road trip with blind Nobel Peace Prize nominee Sabriye Tenberken and Paul Kronenberg - to meet courageous visionaries, affected by adversity in their lives who have transformed their challenges into groundbreaking social projects."
418,Li BingBing's new mini documentary on Elephants and Ivory Poaching,2014,6 min,"
Documentary, Short            ",NA,NA,Kire Godal,,NA,Add a Plot
419,Raga for the Light,2012 Video,13 min,"
Documentary, Short, Family            ",NA,NA,Ruchi Mital,,NA,"In Raga for the Light, we take a train journey through India on our way to meet the narrator's grandparents. Along the way, we hear stories and memories of the grandparents and their house,...                See full summary »"
420,"Home Economics, Nairobi, 1973",2014,5 min,"
Short, Biography, Family            ",NA,NA,Sharanpal Ruprai,,NA,"The film marks the journey of a young woman in to marriage. The film centers on a traditional Sikh ceremony in Nairobi, Kenya and the footage is of the filmmaker's parents wedding from 1973...                See full summary »"
421,Mutinda: From Poacher to Protector,,41 min,"
Documentary, Short            ",NA,NA,Michael Deffert,,NA,"Saving the last free roaming elephants in Amboseli, Kenya"
422,Kidnapped,IV 2017,83 min,"
Thriller            ",NA,NA,Nick Njache,,NA,Kidnapped is a classic femme fatale tale of passionate love turned to consuming hate. What starts as a scorned woman's quest for vengeance ends in death and destruction of all in its wake. ...                See full summary »
423,Slum Dreams,2014,11 min,"
Documentary, Short, Biography            ",NA,NA,Brendan Modini,,NA,"With big dreams to become a journalist and a pilot, two children from the slum must find a way to pursue their education in order to achieve their goals. The YCCM (Young County ...                See full summary »"
424,There's Nothing to do in Nairobi,2014,28 min,"
Short, Comedy            ",NA,NA,Liam Acton,"Matthew Wilder,Abubakar Ciise,Jason Corder,Sadiq Dewany,Patricia Kihoro",NA,"When some of Nairobi's more bizarre characters cross paths it becomes increasingly difficult to tell if they even understand each other, let alone get along."
425,Deceit,2014,11 min,"
Short, Drama, Thriller            ",NA,NA,Mark Wambui,"Saitabao Kaiyare,Peter Kawa,Lizz Njagah",NA,"A thrilling Drama places you in the home of TED, 29 as he walks into their bedroom and locks the door. It's too clean, with a sense of structure and order. SHEILA, his wife, is seeming to ...                See full summary »"
426,Maasai: At the Crossroads,2009,40 min,"
Documentary, Short, Adventure            ",NA,NA,Joe Dietsch,Kristin Jordan,NA,"Maasai at the Crossroads, directed by Kristin Jordan & Joe Dietsch and narrated by Dr. Calestous Juma, takes viewers on a stunning journey into the heart of East Kenya, where they are ...                See full summary »"
427,Why the Lion Calls,2017,NA,"
Short            ",NA,NA,Andrea Heydlauff,,NA,Add a Plot
428,Africa Investment Horizons,2008 Video,56 min,"
Documentary, Biography, News            ",NA,NA,Carol Pineau,,NA,"Smart investors know how to really make money, you go where no one else is looking. Today that place is Africa. Stock exchanges, bonds, mutual funds, and more, all on a continent assumed to...                See full summary »"
429,Hearing Colour,2015,53 min,"
Documentary            ",NA,NA,David Varga,David Varga,NA,"A fictionalised travelogue referencing poetic film essayists such as Chris Marker, Audition Colorée interrogates ideas of language, place, time and memory, challenging documentary as a ...                See full summary »"
430,The Squad,II 2017,NA,"
Short, Adventure            ",NA,NA,Sahil Gada,,NA,Add a Plot
431,Wageuzi: Battle 2012,2011,12 min,"
Animation, Short            ",NA,NA,Andrew Kaggia,,NA,"The year is 2012 and Kenyan politicians prepare to go into battle for the Presidential throne. The 5 main competitors (Uhuru, Ruto, Iron Lady, Mr. Wiper and Tinga) have a grueling battle; ...                See full synopsis »"
432,Sauti Kuu,2018,NA,"
Documentary, Short            ",NA,NA,Vibeke Muasya,Auma Obama,NA,"In this short documentary Dr. Auma Obama is teaching young children in East Africa organic farming, stating ""poverty is no excuse"" and ""use what you have to get what you need""/"
433,September,III 2015,54 min,"
Drama, Thriller            ",NA,NA,Mark Wambui,"Maalia Joy,Saitabao Kaiyare,Peter Kawa,Maryolive Mungai",NA,A Thrilling-Drama that revolves around political events that befalls the Kenyan nation triggering a high level of insecurity.
434,208,2020,30 min,"
Animation, Short, Sci-Fi            ",NA,NA,Stanslaus Manthi,,NA,The film follows 208 a mining bot left alone on a crystal farming planet during one of the expedition. He finds himself in a situation where he has to fight something else.
435,A Boy,2006,27 min,"
Short, Drama            ",NA,NA,Hatim Hassanali,"Jorgs Ashton,Jasmine Mwala,Fahad Swamad",NA,Add a Plot
436,Dirt Court Dreams,2013,9 min,"
Documentary, Short, Sport            ",NA,NA,Cassandra Heikkila,,NA,"Just outside the southern wall of Kibera, the largest urban slum in Africa, is Sadili Oval Sports Academy. Meaning 'well-being' in Swahili,' Sadili is a social enterprise uses sports as a ...                See full summary »"
437,A Climate for Conflict,2017,16 min,"
Documentary, Short            ",NA,NA,Laura Heaton,Nichole Sobecki,NA,"In Somalia, a changing environment is pushing people beyond the brink. Meet the father who didn't flee civil war, but fled the drought. The fisherman pushed into piracy by empty nets in a ...                See full summary »"
438,Pirátské síte,2014,83 min,"
Documentary, Crime, News            ",6.1,NA,David Calek,Jakub Zahradnícek,10,"The film reveals the plight of Somali pirates, mostly former fishermen, who as a result of the global fishing industry can no longer make a living from the sea as they once did and have to ...                See full summary »"
439,Red Dusk,2021,32 min,"
Short, Action, Crime            ",NA,NA,Allan Bosire,"Willy Amin,Duncan Atuti,Allan Bosire,Teddy Brown",NA,An Alshabab Terror Group Led by Hassan Hussein Carry out an ambush on Kenyan soil taking hostage 3 Kenyan Citizens.
440,Kenya's Future PD,2020,6 min,"
Short, Talk-Show            ",NA,NA,Leonel Poseidon,,NA,Sheriff Mcoolz discusses the importance of knowing business side of the Music Industry.
441,Gold,II 2017,10 min,"
Short, Comedy, Drama            ",NA,NA,Winnie Mangeni,,NA,A village girl struggles with the decision her parents make for her but will her quest for education change her path to success.
442,Lost Boys,2018,5 min,"
Short, Action, Sci-Fi            ",NA,NA,Sonny Mugambi,"Peter Mbugua,Ashik Yusuf",NA,Two guys take a wrong turn and their car stalls all of a sudden. They shift blame amongst themselves and try to get out of their predicament. Not realizing something sinister is watching them from the shadows.
443,Mbegu,2010,6 min,"
Short, Drama, Family            ",NA,NA,Paul Plett,"Allan Chola,Fred Isabwa,John Shisiali",NA,The story of a man who struggles to help those who have done him harm.
